"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"20",40269587.942713,351999999994.2,107619999.998995,"r00010",2,"NO",2103179.13078785,51.1701539938164
"21",40530536.8647846,354899999994.33,106819999.999146,"r00001",3,"NO",2111825.02375666,50.5818421495581
"22",40177015.1770848,354099999993.191,106299999.999126,"r00002",3,"NO",2109443.4892784,50.3924378820354
"23",40808357.0189441,353399999993.671,106659999.99925,"r00003",3,"NO",2107357.43884017,50.6131508748475
"24",40327281.3118735,356099999993.775,107619999.998436,"r00004",3,"NO",2115392.29829719,50.8747243171236
"25",40372510.6198751,354099999994,106859999.999356,"r00005",3,"NO",2109443.48928081,50.657910743932
"26",40042094.1246981,350899999992.919,105279999.999183,"r00006",3,"NO",2099890.34201542,50.1359513364579
"27",40326813.4418492,354199999994.271,106439999.999107,"r00007",3,"NO",2109741.32810969,50.4516826688305
"28",40390285.2173645,353099999992.646,105599999.999018,"r00008",3,"NO",2106462.78482147,50.1314339659545
"29",40228291.3942535,354799999991.568,106559999.998649,"r00009",3,"NO",2111527.47883343,50.465836256851
"30",39991469.6626262,356199999994.691,106959999.999058,"r00010",3,"YES",2115689.29967706,50.5556274332833
"31",41089837.4361954,356099999990.785,104699999.998878,"r00001",4,"NO",2115392.29828831,49.494365694532
"32",40363775.1951148,352899999993.999,103539999.999321,"r00002",4,"NO",2105866.13765736,49.1674176946987
"33",40652648.9002476,351999999992.928,103739999.999177,"r00003",4,"NO",2103179.13078405,49.3253277767658
"34",41045763.8113165,357099999993.464,105859999.999517,"r00004",4,"NO",2118360.43824122,49.9726099904923
"35",40936397.0877941,357299999991.808,105539999.998372,"r00005",4,"NO",2118953.56730807,49.8076039167063
"36",40806623.5104597,356299999991.69,105599999.998866,"r00006",4,"NO",2115986.25935797,49.9058061137442
"37",40493770.2565665,351599999993.37,102999999.999362,"r00007",4,"NO",2101983.80296456,49.0013290559589
"38",40234796.2254699,349899999993.024,103659999.999079,"r00008",4,"YES",2096896.05795724,49.4349729953058
"39",40833588.763195,353599999992.615,104699999.998969,"r00009",4,"NO",2107953.66389885,49.6690234667285
"40",40620401.6904116,354299999990.908,105139999.999041,"r00010",4,"NO",2110039.12488683,49.8284599365805
"41",40812742.7683711,355399999990.073,104319999.998557,"r00001",5,"NO",2113312.1199242,49.3632715276807
"42",40723020.9531929,353399999990.826,102599999.999073,"r00002",5,"NO",2107357.43883169,48.6865674083057
"43",40562464.9623948,349799999992.323,101599999.998838,"r00003",5,"YES",2096596.39435118,48.4594938122459
"44",40673650.8189154,355899999990.531,103039999.999013,"r00004",5,"NO",2114798.170401,48.7233256776815
"45",40756112.1885028,355899999990.863,103399999.999291,"r00005",5,"NO",2114798.17040199,48.8935546883116
"46",40709808.9962861,357299999993.514,103559999.999411,"r00006",5,"NO",2118953.56731313,48.8731804211863
"47",40759417.0099037,352999999991.462,103279999.999325,"r00007",5,"NO",2106164.4823616,49.03700582944
"48",40564369.4800636,353399999990.746,101619999.999259,"r00008",5,"NO",2107357.43883145,48.2215300198945
"49",40790191.4215905,348699999990.653,101419999.999086,"r00009",5,"NO",2093297.26343622,48.4498794177952
"50",40678831.3815893,353499999992.148,102799999.999095,"r00010",5,"NO",2107655.57244947,48.7745727256677
"51",42787239.6114869,358799999991.68,104439999.999236,"r00001",6,"NO",2123396.75433667,49.1853440888687
"52",42858901.8122062,359699999990.155,104699999.999699,"r00002",6,"NO",2126058.20942449,49.2460646352858
"53",42675120.7210097,355799999991.992,103399999.999551,"r00003",6,"NO",2114501.04386079,48.9004251380065
"54",42300187.102844,354599999990.066,103639999.998965,"r00004",6,"NO",2110932.26317827,49.0967909329893
"55",42685950.705507,359699999989.041,105259999.998958,"r00005",6,"NO",2126058.2094212,49.5094628794826
"56",41454526.1906137,359199999992.955,103239999.999745,"r00006",6,"NO",2124580.03487496,48.5931329039441
"57",42920486.5831644,355499999991.134,103259999.999275,"r00007",6,"NO",2113609.41360822,48.8548164738705
