id,cost,status
72785,147.152446,0
72790,744.664611,0
72791,172.458976,0
73424,103.478605,0
73601,105.776628,0
73602,106.044864,0
73603,103.15837,0
73604,114.304374,2
73605,108.410806,0
73606,102.743573,0
73656,100.126555,0
73657,125.300176,0
74492,102.67929,0
74493,105.587371,0
74494,111.491026,0
74495,109.689231,0
74496,102.652558,0
74702,101.026891,0
75153,100.214605,0
75382,101.049924,0
75383,100.13922,0
75384,102.563956,0
75385,100.53517,0
76326,118.53,0
76939,101.656543,0
76943,101.082047,0
76944,116.405014,0
77748,3924.828613,0
77794,292.667236,0
77796,100.726091,0
77825,101.07628,0
77842,100.093299,0
78639,16126.99121,0
78641,100.613927,0
78689,100.420104,0
78733,100.404589,0
78931,185.280136,0
79530,6168.585449,0
79611,100.142506,0
79820,107.578211,0
79822,100.379405,0
79887,106.987374,0
80426,165.560684,0
80427,769.453918,0
80428,2726.790283,0
80684,101.114774,0
80685,150.142158,0
80686,102.780569,0
80687,100.293716,0
80688,102.88714,0
80689,114.859972,0
80690,103.031529,0
81574,101.536607,0
81576,124.768938,0
81577,101.835242,0
81638,45509.605468,0
81668,100.419192,0
82208,100.697085,0
82466,152.965648,0
82467,125.711759,0
82468,112.983877,0
82469,102.137216,0
82475,100.062089,0
82476,106990.148437,0
82477,123126.148437,0
82478,101.846261,0
82484,104.274322,0
82490,118.028793,0
82558,111.252148,0
82703,100.37733,0
83050,104.362883,0
83095,3746.046142,0
83357,135.72314,0
83358,134.614837,0
83359,105.188793,0
83367,106.954995,0
83369,100.449151,0
83371,101.824782,0
83372,115.570327,0
83381,110.638254,0
83421,155254.296875,0
83447,108.628845,0
83466,100.157191,0
83986,3303.469482,0
84248,591.402191,0
84258,103.601515,0
84261,102.044528,0
84262,100.39427,0
84263,100.190457,0
84272,100.584876,0
84336,477.733184,0
84337,100.36104,0
84483,100.003003,0
84866,105.329011,0
85140,118.167171,0
85141,112.701395,0
85150,100.820554,0
85152,103.613298,0
85702,208.289611,0
85715,245.022689,0
85716,100.79625,0
86032,146.378345,0
86033,101.067203,0
86109,5834.46289,0
86110,124.772508,0
86594,105.694681,0
86595,733.854309,0
86597,1362.829711,0
86598,1463.367553,0
86599,12949.487304,0
86600,987.448608,0
86601,453.954803,0
