spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
2000078,194,1.11424e+007,0,0,0,35,0,0,0
2000077,195,785192,0,0,0,3,0,0,0
2000076,196,1.57038e+006,0,0,0,6,0,0,0
2000075,197,2.2475e+006,0,0,0,12,0,0,0
2000074,198,3.22495e+006,0,0,0,15,0,0,0
2000073,199,5.99278e+006,0,0,0,29,0,0,0
2000072,200,621378,0,0,0,2,0,0,0
2000071,201,497753,0,0,0,1,0,0,0
2000070,202,4.71115e+006,0,0,0,13,0,0,0
2000068,203,2.94029e+007,0,0,0,105,0,0,0
2000067,204,785192,0,0,0,3,0,0,0
2000065,205,4.39701e+006,0,0,0,17,0,0,0
2000064,206,3.00834e+006,0,0,0,9,0,0,0
2000063,207,9.05726e+006,0,0,0,10,0,0,0
2000062,208,3.78864e+006,0,0,0,13,0,0,0
2000060,209,4.95633e+008,0,0,0,337,0,0,0
2000057,210,3.31843e+008,0,0,0,253,0,0,0
2000056,211,2.22028e+009,0,0,0,1334,0,0,0
2000055,212,0,0,0,0,0,0,0,0
2000055,213,3.21394e+008,0,0,0,214,0,0,0
2000053,214,785193,0,0,0,4,0,0,0
2000052,215,4.26465e+006,0,0,0,16,0,0,0
2000051,216,1.33825e+009,0,0,0,793,0,0,0
2000050,217,8.6371e+006,0,0,0,33,0,0,0
2000049,218,2.35557e+006,0,0,0,7,0,0,0
2000048,219,2.08635e+007,0,0,0,59,0,0,0
2000047,220,968681,0,0,0,4,0,0,0
2000046,221,2.35557e+006,0,0,0,7,0,0,0
2000043,222,2.35557e+006,0,0,0,9,0,0,0
2000042,223,4.71115e+006,0,0,0,16,0,0,0
2000041,224,6.84477e+007,0,0,0,138,0,0,0
2000040,225,3.14077e+006,0,0,0,12,0,0,0
2000039,226,1.61682e+006,0,0,0,10,0,0,0
2000038,227,8.124e+006,0,0,0,32,0,0,0
2000037,228,1.91336e+006,0,0,0,6,0,0,0
2000036,229,1.51363e+007,0,0,0,42,0,0,0
2000035,230,6.06255e+006,0,0,0,25,0,0,0
2000034,231,1.02284e+007,0,0,0,47,0,0,0
2000033,232,3.64587e+007,0,0,0,81,0,0,0
2000032,233,1.4353e+007,0,0,0,53,0,0,0
2000031,234,5.55788e+006,0,0,0,20,0,0,0
2000029,235,1.71124e+007,0,0,0,20,0,0,0
2000028,236,1.32815e+009,0,0,0,831,0,0,0
2000027,237,785191,0,0,0,1,0,0,0
2000026,238,9.85562e+006,0,0,0,48,0,0,0
2000025,239,1.34385e+006,0,0,0,8,0,0,0
2000024,240,7.04448e+006,0,0,0,33,0,0,0
2000023,241,7.99853e+007,0,0,0,189,0,0,0
2000022,242,6.79535e+007,0,0,0,140,0,0,0
2000021,243,785192,0,0,0,3,0,0,0
2000016,244,662114,0,0,0,1,0,0,0
2000015,245,4.13389e+007,0,0,0,45,0,0,0
2000014,246,2.35553e+006,0,0,0,8,0,0,0
2000013,247,1.17765e+008,0,0,0,102,0,0,0
2000012,248,9.17057e+007,0,0,0,103,0,0,0
2000010,249,3.12212e+006,0,0,0,12,0,0,0
2000009,250,1.57038e+006,0,0,0,6,0,0,0
2000008,251,4.59249e+006,0,0,0,15,0,0,0
2000007,252,2.35557e+006,0,0,0,10,0,0,0
2000006,253,2.35557e+006,0,0,0,9,0,0,0
2000005,254,1.21478e+008,0,0,0,231,0,0,0
2000004,255,1.81437e+008,0,0,0,314,0,0,0
2000003,256,6.17719e+006,0,0,0,23,0,0,0
2000002,257,1.02167e+007,0,0,0,27,0,0,0
1000969,258,27969,0,0,0,2,0,0,0
1000967,259,1.127e+007,0,0,0,19,0,0,0
1000964,260,8.52117e+007,0,0,0,74,0,0,0
1000961,261,1.7038e+007,0,0,0,21,0,0,0
1000960,262,4.66935e+006,0,0,0,14,0,0,0
1000953,263,2.58697e+007,0,0,0,25,0,0,0
1000952,264,235480,0,0,0,4,0,0,0
1000947,265,9.09879e+007,0,0,0,200,0,0,0
1000943,266,2.53203e+006,0,0,0,9,0,0,0
1000940,267,2.30448e+007,0,0,0,33,0,0,0
1000938,268,1.85604e+007,0,0,0,57,0,0,0
1000937,269,252629,0,0,0,6,0,0,0
1000936,270,2.04549e+006,0,0,0,6,0,0,0
1000935,271,1.73822e+006,0,0,0,7,0,0,0
1000928,272,7.61301e+008,0,0,0,554,0,0,0
1000926,273,3.88632e+008,0,0,0,324,0,0,0
1000925,274,1.46842e+008,0,0,0,116,0,0,0
1000923,275,1.45011e+009,0,0,0,1331,0,0,0
1000920,276,2.00979e+008,0,0,0,215,0,0,0
1000918,277,6.86683e+007,0,0,0,60,0,0,0
1000917,278,1.70008e+008,0,0,0,210,0,0,0
1000915,279,7.66171e+009,0,0,0,5259,0,0,0
1000914,280,5.25255e+007,0,0,0,44,0,0,0
1000913,281,1.46718e+008,0,0,0,204,0,0,0
1000911,282,5.09628e+006,0,0,0,10,0,0,0
1000892,283,4.74617e+007,0,0,0,49,0,0,0
1000890,284,2.60656e+006,0,0,0,7,0,0,0
1000879,285,3.0668e+006,0,0,0,11,0,0,0
1000876,286,6.35244e+006,0,0,0,11,0,0,0
1000863,287,2.45589e+006,0,0,0,6,0,0,0
1000861,288,5.47778e+008,0,0,0,575,0,0,0
1000859,289,2.93653e+007,0,0,0,49,0,0,0
1000850,290,1.7929e+006,0,0,0,10,0,0,0
1000848,291,1.51424e+006,0,0,0,31,0,0,0
1000847,292,1.25839e+006,0,0,0,30,0,0,0
1000844,293,36658,0,0,0,2,0,0,0
1000843,294,1.01091e+006,0,0,0,12,0,0,0
1000830,295,2.72015e+006,0,0,0,68,0,0,0
1000826,296,369137,0,0,0,8,0,0,0
1000823,297,975991,0,0,0,26,0,0,0
1000821,298,122651,0,0,0,14,0,0,0
1000820,299,2.65701e+007,0,0,0,889,0,0,0
1000819,300,59217,0,0,0,1,0,0,0
1000818,301,3582,0,0,0,1,0,0,0
1000817,302,119202,0,0,0,1,0,0,0
1000810,303,892805,0,0,0,82,0,0,0
1000808,304,154602,0,0,0,16,0,0,0
1000807,305,234296,0,0,0,24,0,0,0
1000805,306,2.53656e+006,0,0,0,89,0,0,0
1000802,307,1.32211e+006,0,0,0,44,0,0,0
1000800,308,44800,0,0,0,4,0,0,0
1000799,309,984800,0,0,0,47,0,0,0
1000797,310,6.51207e+008,0,0,0,1255,0,0,0
1000796,311,8344,0,0,0,1,0,0,0
1000795,312,1.61835e+006,0,0,0,97,0,0,0
1000793,313,1.70472e+006,0,0,0,32,0,0,0
1000792,314,1.00189e+006,0,0,0,13,0,0,0
1000788,315,6.30968e+006,0,0,0,12,0,0,0
1000787,316,2.54798e+007,0,0,0,28,0,0,0
1000786,317,2.30302e+007,0,0,0,26,0,0,0
1000784,318,8.14073e+006,0,0,0,10,0,0,0
1000782,319,3.4173e+008,0,0,0,377,0,0,0
1000781,320,1.8169e+007,0,0,0,30,0,0,0
1000768,321,2.43214e+007,0,0,0,24,0,0,0
1000766,322,4.92091e+007,0,0,0,41,0,0,0
1000765,323,1.71559e+006,0,0,0,6,0,0,0
1000759,324,2.37034e+006,0,0,0,8,0,0,0
1000757,325,1.58873e+007,0,0,0,39,0,0,0
1000756,326,7.37034e+006,0,0,0,37,0,0,0
1000753,327,27253,0,0,0,2,0,0,0
1000752,328,445721,0,0,0,8,0,0,0
1000739,329,1.29536e+006,0,0,0,56,0,0,0
1000735,330,1.02661e+006,0,0,0,8,0,0,0
1000732,331,887647,0,0,0,27,0,0,0
1000730,332,475351,0,0,0,29,0,0,0
1000729,333,1.96724e+009,0,0,0,1677,0,0,0
1000728,334,91350,0,0,0,3,0,0,0
1000727,335,6092,0,0,0,2,0,0,0
1000726,336,595603,0,0,0,1,0,0,0
1000719,337,2.04731e+006,0,0,0,66,0,0,0
1000717,338,176240,0,0,0,22,0,0,0
1000716,339,192066,0,0,0,16,0,0,0
1000714,340,1.01372e+006,0,0,0,74,0,0,0
1000711,341,1.47444e+006,0,0,0,46,0,0,0
1000709,342,41608,0,0,0,4,0,0,0
1000708,343,1.22302e+006,0,0,0,51,0,0,0
1000706,344,3.34238e+007,0,0,0,903,0,0,0
1000704,345,3.95119e+006,0,0,0,117,0,0,0
1000702,346,2.61886e+007,0,0,0,40,0,0,0
1000701,347,6.9494e+006,0,0,0,15,0,0,0
