id,cost,status
96,5604453.000000,0
97,656901.000000,0
98,4008113.000000,0
99,4322304.000000,0
100,4115482.000000,0
101,376689.000000,0
102,13181768.000000,0
103,1033476.000000,0
104,60310075.000000,0
105,7718486.000000,0
106,5099837.000000,0
107,388729.000000,0
108,11074782.000000,0
109,3788983.000000,0
110,7014140.000000,0
111,41967386.000000,0
112,2834471.000000,0
113,1076266.000000,0
114,1001208.000000,0
115,63965.000000,0
116,5954749.000000,0
117,396791.000000,0
118,550481.000000,0
119,60561657.000000,0
120,1674902.000000,0
121,70040046.000000,0
122,1140986.000000,0
123,195079.000000,0
124,4414075.000000,0
125,52079001.000000,0
126,1509934.000000,0
127,132920123.000000,0
128,20868327.000000,0
129,4203006.000000,0
130,6938696.000000,0
131,83481610.000000,0
132,27668385.000000,0
133,28524312.000000,0
134,150864086.000000,0
135,11226582.000000,0
136,25304778.000000,0
137,15193474.000000,0
138,1130042.000000,0
139,2988936.000000,0
140,7352720.000000,0
141,51094.000000,0
142,1247230.000000,0
143,4139027.000000,0
144,250138.000000,0
145,354881.000000,0
146,21972692.000000,0
147,441766.000000,0
148,12501365.000000,0
149,140116.000000,0
150,36025403.000000,0
151,35630809.000000,0
152,27561067.000000,0
153,11414269.000000,0
154,1566470.000000,0
155,47423989.000000,0
156,22428040.000000,0
157,1099976.000000,0
158,2060220.000000,0
159,1159737.000000,0
160,5653903.000000,0
161,844318.000000,0
162,11764168.000000,0
163,37028067.000000,0
164,5466105.000000,0
165,16939702.000000,0
166,988767.000000,0
167,263324.000000,0
168,26747850.000000,0
169,242784.000000,0
170,2831699.000000,0
171,705611.000000,0
172,5957021.000000,0
173,11237851.000000,0
174,1362173.000000,0
175,2163462.000000,0
176,15749.000000,0
177,71899189.000000,0
178,42152461.000000,0
179,25860068.000000,0
180,22116751.000000,0
181,7872778.000000,0
182,2221017.000000,0
183,530225.000000,0
184,14188587.000000,0
185,9054714.000000,0
186,26225970.000000,0
187,6783005.000000,0
188,17871020.000000,0
189,77061882.000000,0
190,862644.000000,0
191,56968962.000000,0
192,3807129.000000,0
193,2196612.000000,0
194,1045614.000000,0
195,41184820.000000,0
196,1640616.000000,0
197,59879252.000000,0
198,2278346.000000,0
199,46480409.000000,0
200,497907.000000,0
201,2331441.000000,0
202,579359.000000,0
203,615508.000000,0
204,1775516.000000,0
205,394393.000000,0
206,5084291.000000,0
207,412522.000000,0
208,1004145.000000,0
209,11701887.000000,0
210,44390.000000,0
211,1726002.000000,0
212,30134623.000000,0
213,25714160.000000,0
214,2608130.000000,0
215,3505580.000000,0
216,16410340.000000,0
217,8113201.000000,0
218,939860.000000,0
219,309010.000000,0
220,24651845.000000,0
221,44183272.000000,0
222,3829363.000000,0
