species,pu,amount
2000110,2178,89316
2000938,2178,238986
4624,2178,385253
4672,2178,432853
2000500,2178,461333
2000729,2178,538356
4619,2178,646823
4671,2178,646823
2000307,2178,794038
2000729,2180,1634
2000307,2180,1634
2000500,2180,3330
4624,2180,88857
4625,2180,206635
4672,2180,295492
4624,2181,123319
4625,2181,338171
4672,2181,461490
4641,2240,2331
2000706,2240,3029
2000820,2240,18534
4610,2240,34158
4670,2240,34158
4643,2240,181972
4672,2240,184303
2000729,2240,281674
2000892,2240,1111582
2000305,2240,1414819
2000500,2240,1478214
2000795,2241,94442
2000704,2241,135892
2000041,2241,172847
2000305,2241,454425
2000892,2241,603698
2000859,2241,1093919
2000302,2241,1473531
2000500,2241,2000000
2000915,2242,241
2000795,2242,12220
2000913,2242,19083
2000704,2242,35772
2000859,2242,1879530
2000302,2242,1946846
2000500,2242,1974144
2000704,2243,3376
2000795,2243,22117
2000861,2243,495554
2000305,2243,912913
2000302,2243,1087087
2000859,2243,1478953
2000500,2243,1832797
2000110,2244,11
2000795,2244,18565
2000704,2244,65092
2000859,2244,378224
2000500,2244,424600
2000302,2244,461882
2000302,2245,6089
2000005,2245,12463
4618,2245,13467
4670,2245,13467
2000706,2245,18935
2000861,2245,149515
2000915,2245,274786
2000500,2245,395065
2000101,2245,407659
2000305,2245,437149
4618,2246,3591
4670,2246,3591
2000704,2247,15368
2000795,2247,41764
2000859,2247,181332
2000305,2247,238463
2000795,2248,7302
2000704,2248,25707
2000859,2248,667317
2000305,2248,700331
2000500,2248,802317
2000704,2249,0
2000795,2249,1
2000110,2249,272
2000797,2249,10280
2000706,2249,55883
2000859,2249,297352
2000861,2249,746098
2000500,2249,1045848
2000305,2249,1109614
2000797,2250,56076
2000706,2250,66568
4634,2250,96953
4672,2250,96953
2000861,2250,704120
2000500,2250,794983
2000305,2250,826769
2000821,2251,679
2000797,2251,1310
4634,2251,9878
4612,2251,11674
4670,2251,11674
4633,2251,16255
2000706,2251,24677
4672,2251,26133
2000730,2251,28878
2000938,2251,206518
2000861,2251,372795
2000500,2251,389168
2000305,2251,634859
2000500,2252,3677
2000744,2252,5851
2000730,2252,19718
2000706,2252,27834
4634,2252,76539
4672,2252,76539
2000861,2252,146523
2000952,2252,149858
2000938,2252,245158
2000305,2252,251615
2000307,2252,343338
2000730,2253,3767
2000339,2253,10471
2000913,2253,29546
4634,2253,101213
4672,2253,101213
2000938,2253,410223
2000004,2253,533825
2000861,2253,975250
2000500,2253,1326324
2000305,2253,1408327
2000500,2254,463
4610,2254,54788
4608,2254,64267
4670,2254,119055
2000034,2254,226029
4634,2254,242138
4672,2254,242138
4610,2255,26506
4670,2255,26506
2000821,2256,17
2000938,2256,2600
2000706,2256,4777
2000708,2256,35119
4610,2256,113044
4670,2256,113044
2000500,2256,140603
2000861,2256,210498
2000863,2256,250833
2000305,2256,503848
2000704,2257,3982
2000305,2257,57405
2000863,2257,85526
2000913,2257,243800
2000500,2257,621730
2000917,2257,680751
2000339,2257,956676
2000730,2258,482
2000706,2258,983
2000913,2258,31200
4634,2258,55975
4672,2258,55975
4601,2258,135027
4670,2258,135027
2000339,2258,191527
2000938,2258,271241
2000861,2258,590740
2000305,2258,703151
2000500,2258,819986
2000704,2260,11145
2000339,2260,57428
2000706,2260,57779
2000859,2260,256851
2000861,2260,257208
2000305,2260,525558
2000500,2260,627373
4642,2261,16991
4643,2261,27107
2000797,2261,30780
4672,2261,44098
2000706,2261,95484
2000861,2261,360838
2000915,2261,799015
2000500,2261,1082269
2000305,2261,1286118
2000848,2266,195
2000820,2266,753
2000729,2266,19380
2000305,2266,20327
2000500,2266,36205
2000820,2267,17777
4643,2267,100744
4672,2267,100744
2000307,2267,170440
2000500,2267,1109025
2000305,2267,1260766
2000729,2267,1413429
2000729,2268,7242
4637,2268,19819
2000952,2268,28777
2000730,2268,40824
2000917,2268,56375
4643,2268,56411
2000500,2268,77863
4619,2268,241314
4671,2268,241314
2000938,2268,300146
2000307,2268,433375
4625,2268,504815
4672,2268,581045
2000917,2269,1490
2000730,2269,19182
4601,2269,132743
4670,2269,132743
2000500,2269,147125
2000110,2269,203735
4637,2269,304996
4672,2269,304996
2000938,2269,329207
2000307,2269,349879
4619,2269,1037780
4671,2269,1037780
2000938,2270,2680
2000744,2270,17823
2000952,2270,30678
2000307,2270,51195
4637,2270,56373
4672,2270,56373
4601,2270,99905
4670,2270,99905
2000500,2270,142805
2000110,2270,416354
4619,2270,1706175
4671,2270,1706175
2000848,2271,1775
4642,2271,6375
2000820,2271,19053
4624,2271,30729
4625,2271,42626
2000033,2271,47247
4672,2271,79730
2000757,2271,111867
4618,2271,157287
4670,2271,157287
2000729,2271,288047
2000035,2271,316113
2000500,2271,338066
2000307,2271,420754
2000729,2272,23857
2000307,2272,23864
4624,2272,44410
4625,2272,85419
4672,2272,129829
2000820,2273,7467
2000110,2273,40142
4619,2273,77465
4671,2273,77465
4624,2273,114627
2000305,2273,117861
2000500,2273,168424
4626,2273,179396
2000729,2273,204126
2000938,2273,227328
2000307,2273,321076
4625,2273,709217
4672,2273,1003240
4637,2274,4337
2000938,2274,13135
2000305,2274,13136
2000110,2274,23289
4657,2274,25389
2000500,2274,54022
4655,2274,69096
4624,2274,102201
4619,2274,124914
4671,2274,124914
