"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
3061544099,507176000299.184,33157157.4743909,"r00009",6,2,"NO",2524551.75951453,13.1338790537481
3025723030,508121550104.526,32087660.2039639,"r00010",6,2,"YES",2526903.97834111,12.6984089933758
3070837865,507908531748.607,24100067.0102341,"r00001",6,3,"NO",2526374.24942308,9.53938911296993
3076234894,506091170134.575,22958168.3247238,"r00002",6,3,"NO",2521850.35411814,9.10369970495417
3085032188,512237348997.763,23765515.053999,"r00003",6,3,"NO",2537117.33469754,9.36713281998535
3103411499,505293369730.165,23619697.7933752,"r00004",6,3,"NO",2519861.85196881,9.37340980614504
3111640834,507092712447.415,24750590.0941459,"r00005",6,3,"NO",2524344.46152954,9.80475940242685
3102215664,505490863482.021,23957722.6600373,"r00006",6,3,"NO",2520354.24745957,9.50569654412107
3271524003,505554494057.03,24374115.1882261,"r00007",6,3,"NO",2520512.8720313,9.67029982615516
3104108498,521932495386.724,23531981.1682831,"r00008",6,3,"NO",2561014.87162939,9.18853749307257
3117439188,503554114744.979,23403438.6762354,"r00009",6,3,"NO",2515521.34363256,9.30361363678176
3060176674,507199999469.683,23514265.0869012,"r00010",6,3,"YES",2524611.48871243,9.31401334107593
3267268507,505348777131.766,18449787.0045407,"r00001",6,4,"NO",2520000.00455376,7.32134403619089
3155918558,504374162776.114,18275806.8667459,"r00002",6,4,"NO",2517568.79901062,7.25930781868924
3161909197,504495969733.665,17788235.9544821,"r00003",6,4,"YES",2517872.7785819,7.06478742921263
3175090748,516185629851.163,19386788.3279007,"r00004",6,4,"NO",2546876.50476346,7.61198601174469
3161557939,505091209734.35,19534679.4776659,"r00005",6,4,"NO",2519357.72282875,7.7538331697224
3296611182,502481994313.702,19423055.697343,"r00006",6,4,"NO",2512842.01007312,7.72951726351385
3188462548,506074771055.162,17952858.9894022,"r00007",6,4,"NO",2521809.49551233,7.11903854012373
3183635035,502944814513.663,18742817.7058972,"r00008",6,4,"NO",2513998.99318771,7.45537995706658
3191822257,503460965018.87,19114881.5477705,"r00009",6,4,"NO",2515288.66659277,7.59947826332936
3216093527,518848381941.158,18661153.2975491,"r00010",6,4,"NO",2553437.10714268,7.3082486525118
