id,name,prop,spf
1000792,Bare10,0,100
1000793,Cultivatedland50,0,100
1000795,ForestLargecrownLowAltPlains1000m50,0.34,100
1000796,ForestLargeCrownLowAltUplands1000m50,0.34,100
1000797,ForestMediumCrownLowAltUplands1000m50,0.34,100
1000799,ForestOpenLowAltPlains1000m50,0.34,100
1000800,ForestSmallCrown50,0.34,100
1000802,ForestSmallCrownLowAltUplands1000m50,0.34,100
1000805,ForestSmallCrownLowMontane1000m50,0.34,100
1000807,ForestSmallCrownLowMontane1000mwNothofag50,0.34,100
1000808,ForestVerySmallCrownLowMontane1000m50,0.34,100
1000810,ForestVerySmallCrownLowMontane1000mNotho50,0.34,100
1000817,Grasslands50,0.34,100
1000818,Herbaceousswamp50,0.34,100
1000819,Lakesandlargerrivers50,0.34,100
1000820,Landuse0450,0,100
1000821,Mangrove50,0.34,100
1000823,Mixedforest50,0.34,100
1000826,Riverinesuccessionsdominatedbygrass50,0.34,100
1000830,RiverinesuccessionswithEucalyptusdeglupta50,0.34,100
1000843,Swampgrassland50,0.34,100
1000844,Swampwoodland50,0.34,100
1000847,TimberPlantation50,0,100
1000848,Urban50,0,100
1000850,Volcanicsuccessionsdominatedbyscrub50,0.34,100
1000859,ForestLargecrownLowAltPlains1000m80,0.34,100
1000861,ForestMediumCrownLowAltUplands1000m80,0.34,100
1000863,ForestOpenLowAltPlains1000m80,0.34,100
1000876,Mixedforest80,0.34,100
1000879,RiverinesuccessionswithEucalyptusdeglupta80,0.34,100
1000890,ForestLargecrownLowAltPlains1000m90,0.34,100
1000892,ForestMediumCrownLowAltUplands1000m90,0.34,100
1000911,Cultivatedland100,0,100
1000913,ForestLargecrownLowAltPlains1000m100,0.34,100
1000914,ForestLargeCrownLowAltUplands1000m100,0.34,100
1000915,ForestMediumCrownLowAltUplands1000m100,0.34,100
1000917,ForestOpenLowAltPlains1000m100,0.34,100
1000918,ForestSmallCrown100,0.34,100
1000920,ForestSmallCrownLowAltUplands1000m100,0.34,100
1000923,ForestSmallCrownLowMontane1000m100,0.34,100
1000925,ForestSmallCrownLowMontane1000mwNothofag100,0.34,100
1000926,ForestVerySmallCrownLowMontane1000m100,0.34,100
1000928,ForestVerySmallCrownLowMontane1000mNotho100,0.34,100
1000935,Grasslands100,0.34,100
1000936,Herbaceousswamp100,0.34,100
1000937,Lakesandlargerrivers100,0.34,100
1000938,Mangrove100,0.34,100
1000940,Mixedforest100,0.34,100
1000943,Riverinesuccessionsdominatedbygrass100,0.34,100
1000947,RiverinesuccessionswithEucalyptusdeglupta100,0.34,100
1000952,Scrub100,0.34,100
1000953,SeralForestVolcanicsuccessions100,0.34,100
1000960,Swampgrassland100,0.34,100
1000961,Swampwoodland100,0.34,100
1000964,TimberPlantation100,0,100
1000967,Volcanicsuccessionsdominatedbyscrub100,0.34,100
1000969,Woodland100,0.34,100
2000002,BeetleNutFarm,0,100
2000003,CashCropCoffee,0,100
2000004,Cashcropscocoa,0,100
2000005,Cashcropscoconut,0,100
2000006,CashcropsVanilla,0,100
2000007,CattlefarmPigfarmChickenfarm,0,100
2000008,Fishfarmpond,0,100
2000009,FruitandVeggiefarming,0,100
2000010,Introducedcrops,0,100
2000012,OilPalmexisting,0,100
2000013,OilPlamproposed,0,100
2000014,Researchsites,0.9,100
2000015,Commercialfloriculture,0,100
2000016,Spiceagriculturalactivity,0,100
2000021,Uniqueorchidspecies,0.5,100
2000022,Seagrassbeds,0.3,100
2000023,Shellsmangroves,0.3,100
2000024,Mangroves,0.3,100
2000025,ConservationAreaMarine,0.5,100
2000026,ConservationAreaMarineproposed,0.5,100
2000027,ConservationAreaTerrestrial,0.5,100
2000028,ConservationAreaTerrestrialproposed,0.5,100
2000029,WildlifeMngtAreaWMA,0.5,100
2000031,Cemetary,0,100
2000032,SacredSitesPlesTambu,0,100
2000033,WWIIsites,0,100
2000034,ShellTabuMoney,0,100
