id1,id2,boundary
437,386,877.382
438,336,877.382
438,386,877.382
438,387,877.382
439,337,877.382
439,387,877.382
439,388,877.382
440,338,877.382
440,388,877.382
440,389,877.382
441,339,877.382
441,389,877.382
441,390,877.382
442,340,877.382
442,390,877.382
442,391,877.382
443,341,877.382
443,391,877.382
443,392,877.382
444,342,877.382
444,392,877.382
444,393,877.382
445,343,877.382
445,393,877.382
445,394,877.382
446,344,877.382
446,394,877.382
446,395,877.382
447,345,877.382
447,395,877.382
447,396,877.382
448,346,877.382
448,396,877.382
448,397,877.382
449,347,877.382
449,397,877.382
449,398,877.382
450,348,877.382
450,398,877.382
450,399,877.382
451,349,877.382
451,399,877.382
451,400,877.382
452,350,877.382
452,400,877.382
452,401,877.382
453,351,877.382
453,401,877.382
453,402,877.382
454,352,877.382
454,402,877.382
454,403,877.382
455,353,877.382
455,403,877.382
455,404,877.382
456,354,877.382
456,404,877.382
456,405,877.382
457,355,877.382
457,405,877.382
457,406,877.382
458,356,877.382
458,406,877.382
458,407,877.382
459,357,877.382
459,407,877.382
459,408,877.382
460,358,877.382
460,408,877.382
460,409,877.382
461,359,877.382
461,409,877.382
461,410,877.382
462,360,877.382
462,410,877.382
462,411,877.382
463,361,877.382
463,411,877.382
463,412,877.382
464,362,877.382
464,412,877.382
464,413,877.382
465,363,877.382
465,413,877.382
465,414,877.382
466,364,877.382
466,414,877.382
466,415,877.382
467,365,877.382
467,415,877.382
467,416,877.382
468,366,877.382
468,416,877.382
468,417,877.382
469,367,877.382
469,417,877.382
469,418,877.382
470,368,877.382
470,418,877.382
470,419,877.382
471,369,877.382
471,419,877.382
471,420,877.382
472,370,877.382
472,420,877.382
472,421,877.382
473,371,877.382
473,421,877.382
473,422,877.382
474,372,877.382
474,422,877.382
474,423,877.382
475,373,877.382
475,423,877.382
475,424,877.382
476,374,877.382
476,424,877.382
476,425,877.382
477,375,877.382
477,425,877.382
477,426,877.382
478,376,877.382
478,426,877.382
478,427,877.382
479,377,877.382
479,427,877.382
479,428,877.382
480,428,877.382
480,480,1754.764
481,481,2632.145
482,429,877.382
482,482,1754.766
483,378,877.384
483,429,877.382
483,430,877.382
484,379,877.384
484,430,877.382
484,431,877.382
485,380,877.384
485,431,877.382
485,432,877.383
486,381,877.382
486,432,877.383
486,433,877.383
487,382,877.382
487,433,877.383
487,434,877.383
488,383,877.382
488,434,877.383
488,435,877.383
489,384,877.382
489,435,877.383
489,436,877.383
490,385,877.382
490,436,877.383
490,437,877.383
491,386,877.382
491,437,877.383
491,438,877.383
492,387,877.382
492,438,877.383
492,439,877.383
493,388,877.382
493,439,877.383
493,440,877.383
494,389,877.382
494,440,877.383
494,441,877.383
495,390,877.382
495,441,877.383
495,442,877.383
496,391,877.382
496,442,877.383
496,443,877.383
497,392,877.382
497,443,877.383
497,444,877.383
498,393,877.382
498,444,877.383
498,445,877.383
499,394,877.382
499,445,877.383
499,446,877.383
500,395,877.382
500,446,877.383
500,447,877.383
501,396,877.382
501,447,877.383
501,448,877.383
502,397,877.382
502,448,877.383
502,449,877.383
503,398,877.382
503,449,877.383
503,450,877.383
504,399,877.382
504,450,877.383
504,451,877.383
505,400,877.382
505,451,877.383
505,452,877.383
506,401,877.382
506,452,877.383
506,453,877.383
507,402,877.382
507,453,877.383
507,454,877.383
508,403,877.382
508,454,877.383
508,455,877.383
509,404,877.382
509,455,877.383
509,456,877.383
510,405,877.382
510,456,877.383
510,457,877.383
511,406,877.382
511,457,877.383
511,458,877.383
512,407,877.382
512,458,877.383
512,459,877.383
513,408,877.382
513,459,877.383
513,460,877.383
514,409,877.382
514,460,877.383
514,461,877.383
515,410,877.382
515,461,877.383
515,462,877.383
516,411,877.382
516,462,877.383
516,463,877.383
517,412,877.382
517,463,877.383
517,464,877.383
518,413,877.382
518,464,877.383
518,465,877.383
519,414,877.382
519,465,877.383
519,466,877.383
520,415,877.382
520,466,877.383
520,467,877.383
521,416,877.382
521,467,877.383
521,468,877.383
522,417,877.382
522,468,877.383
522,469,877.383
523,418,877.382
523,469,877.383
523,470,877.383
524,419,877.382
524,470,877.383
524,471,877.383
525,420,877.382
525,471,877.383
525,472,877.383
526,421,877.382
526,472,877.383
526,473,877.383
527,422,877.382
527,473,877.383
527,474,877.383
528,423,877.382
528,474,877.383
528,475,877.383
529,424,877.382
529,475,877.383
529,476,877.383
530,425,877.382
530,476,877.383
530,477,877.383
531,426,877.382
531,477,877.383
531,478,877.383
532,427,877.382
532,478,877.383
532,479,877.383
533,428,877.382
533,479,877.383
533,480,877.383
534,480,877.383
534,481,877.383
534,534,877.382
535,481,877.383
535,535,1754.765
536,482,877.382
536,536,2632.149
537,429,877.384
537,482,877.382
537,483,877.382
538,430,877.384
538,483,877.382
538,484,877.382
539,431,877.384
539,484,877.382
539,485,877.382
540,432,877.382
540,485,877.383
540,486,877.383
541,433,877.382
541,486,877.383
541,487,877.383
542,434,877.382
542,487,877.383
542,488,877.383
543,435,877.382
543,488,877.383
543,489,877.383
544,436,877.382
544,489,877.383
544,490,877.383
545,437,877.382
545,490,877.383
545,491,877.383
546,438,877.382
546,491,877.383
546,492,877.383
547,439,877.382
547,492,877.383
547,493,877.383
548,440,877.382
548,493,877.383
548,494,877.383
549,441,877.382
549,494,877.383
549,495,877.383
550,442,877.382
550,495,877.383
550,496,877.383
551,443,877.382
551,496,877.383
551,497,877.383
552,444,877.382
552,497,877.383
552,498,877.383
553,445,877.382
553,498,877.383
553,499,877.383
554,446,877.382
554,499,877.383
554,500,877.383
555,447,877.382
555,500,877.383
555,501,877.383
556,448,877.382
556,501,877.383
556,502,877.383
557,449,877.382
557,502,877.383
557,503,877.383
558,450,877.382
558,503,877.383
558,504,877.383
559,451,877.382
559,504,877.383
559,505,877.383
560,452,877.382
560,505,877.383
560,506,877.383
561,453,877.382
561,506,877.383
561,507,877.383
562,454,877.382
562,507,877.383
562,508,877.383
563,455,877.382
563,508,877.383
563,509,877.383
564,456,877.382
564,509,877.383
564,510,877.383
565,457,877.382
565,510,877.383
565,511,877.383
566,458,877.382
566,511,877.383
566,512,877.383
567,459,877.382
567,512,877.383
567,513,877.383
568,460,877.382
568,513,877.383
568,514,877.383
569,461,877.382
569,514,877.383
569,515,877.383
570,462,877.382
570,515,877.383
570,516,877.383
571,463,877.382
571,516,877.383
571,517,877.383
572,464,877.382
572,517,877.383
572,518,877.383
573,465,877.382
573,518,877.383
573,519,877.383
574,466,877.382
574,519,877.383
574,520,877.383
575,467,877.382
575,520,877.383
575,521,877.383
576,468,877.382
576,521,877.383
576,522,877.383
577,469,877.382
577,522,877.383
577,523,877.383
578,470,877.382
578,523,877.383
578,524,877.383
579,471,877.382
579,524,877.383
579,525,877.383
580,472,877.382
580,525,877.383
580,526,877.383
581,473,877.382
581,526,877.383
581,527,877.383
582,474,877.382
582,527,877.383
582,528,877.383
583,475,877.382
583,528,877.383
583,529,877.383
584,476,877.382
584,529,877.383
584,530,877.383
585,477,877.382
585,530,877.383
585,531,877.383
586,478,877.382
586,531,877.383
586,532,877.383
587,479,877.382
587,532,877.383
587,533,877.383
588,480,877.382
588,533,877.383
588,534,877.383
589,481,877.382
589,534,877.383
589,535,877.383
590,535,877.383
590,590,2632.149
591,482,877.384
591,536,877.382
591,537,877.382
592,483,877.384
592,537,877.382
592,538,877.382
593,484,877.384
593,538,877.382
593,539,877.382
594,485,877.384
594,539,877.382
594,540,877.383
595,486,877.382
595,540,877.383
595,541,877.383
596,487,877.382
596,541,877.383
596,542,877.383
597,488,877.382
597,542,877.383
597,543,877.383
598,489,877.382
598,543,877.383
598,544,877.383
599,490,877.382
599,544,877.383
599,545,877.383
600,491,877.382
600,545,877.383
600,546,877.383
601,492,877.382
601,546,877.383
601,547,877.383
602,493,877.382
602,547,877.383
602,548,877.383
603,494,877.382
603,548,877.383
603,549,877.383
604,495,877.382
604,549,877.383
604,550,877.383
605,496,877.382
605,550,877.383
605,551,877.383
606,497,877.382
606,551,877.383
606,552,877.383
607,498,877.382
607,552,877.383
607,553,877.383
608,499,877.382
608,553,877.383
608,554,877.383
609,500,877.382
609,554,877.383
609,555,877.383
610,501,877.382
610,555,877.383
610,556,877.383
611,502,877.382
611,556,877.383
611,557,877.383
612,503,877.382
612,557,877.383
612,558,877.383
613,504,877.382
613,558,877.383
613,559,877.383
614,505,877.382
614,559,877.383
614,560,877.383
615,506,877.382
615,560,877.383
615,561,877.383
616,507,877.382
616,561,877.383
616,562,877.383
