id,prop,spf,name
205,0.2,0.08,Fis-25172_surface.grd
206,0.2,0.08,Fis-25173_surface.grd
207,0.2,0.08,Fis-2518_surface.grd
208,0.2,0.08,Fis-25196_surface.grd
209,0.2,0.08,Fis-25197_surface.grd
210,0.2,0.08,Fis-25198_surface.grd
211,0.2,0.08,Fis-25345_surface.grd
212,0.2,0.08,Fis-25366_surface.grd
213,0.2,0.08,Fis-25369_surface.grd
214,0.2,0.08,Fis-25392_surface.grd
215,0.2,0.08,Fis-25411_surface.grd
216,0.2,0.08,Fis-25412_surface.grd
217,0.2,0.08,Fis-25418_surface.grd
218,0.2,0.08,Fis-25424_surface.grd
219,0.2,0.08,Fis-25445_surface.grd
220,0.2,0.08,Fis-25577_surface.grd
221,0.2,0.08,Fis-25622_surface.grd
222,0.2,0.08,Fis-25646_surface.grd
223,0.2,0.08,Fis-26140_surface.grd
224,0.2,0.08,Fis-26533_surface.grd
225,0.2,0.08,Fis-26588_surface.grd
226,0.2,0.08,Fis-26611_surface.grd
227,0.2,0.08,Fis-26624_surface.grd
228,0.2,0.08,Fis-26637_surface.grd
229,0.2,0.08,Fis-26639_surface.grd
230,0.2,0.08,Fis-26640_surface.grd
231,0.2,0.08,Fis-26644_surface.grd
232,0.2,0.08,Fis-26835_surface.grd
233,0.2,0.08,Fis-26850_surface.grd
234,0.2,0.08,Fis-26852_surface.grd
235,0.2,0.08,Fis-27236_surface.grd
236,0.2,0.08,Fis-27241_surface.grd
237,0.2,0.08,Fis-27253_surface.grd
238,0.2,0.08,Fis-27261_surface.grd
239,0.2,0.08,Fis-27263_surface.grd
240,0.2,0.08,Fis-27265_surface.grd
241,0.2,0.08,Fis-27286_surface.grd
242,0.2,0.08,Fis-27320_surface.grd
243,0.2,0.08,Fis-27324_surface.grd
244,0.2,0.08,Fis-27325_surface.grd
245,0.2,0.08,Fis-27327_surface.grd
246,0.2,0.08,Fis-27328_surface.grd
247,0.2,0.08,Fis-27330_surface.grd
248,0.2,0.08,Fis-27343_surface.grd
249,0.2,0.08,Fis-27531_surface.grd
250,0.2,0.08,Fis-27584_surface.grd
251,0.2,0.08,Fis-27714_surface.grd
252,0.2,0.08,Fis-28235_surface.grd
253,0.2,0.08,Fis-28308_surface.grd
254,0.2,0.08,Fis-28309_surface.grd
255,0.2,0.08,Fis-28733_surface.grd
256,0.2,0.08,Fis-28736_surface.grd
257,0.2,0.08,Fis-29140_surface.grd
258,0.2,0.08,Fis-29269_surface.grd
259,0.2,0.08,Fis-29297_surface.grd
260,0.2,0.08,Fis-29300_surface.grd
261,0.2,0.08,Fis-29302_surface.grd
262,0.2,0.08,Fis-29304_surface.grd
263,0.2,0.08,Fis-29313_surface.grd
264,0.2,0.08,Fis-29358_surface.grd
265,0.2,0.08,Fis-29388_surface.grd
266,0.2,0.08,Fis-29403_surface.grd
267,0.2,0.08,Fis-29404_surface.grd
268,0.2,0.08,Fis-29421_surface.grd
269,0.2,0.08,Fis-29454_surface.grd
270,0.2,0.08,Fis-29501_surface.grd
271,0.2,0.08,Fis-29546_surface.grd
