"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
4846.154320739,11298000000.0118,15269920.3383659,"r00027",8,1,"NO",376795.508467363,40.5257493659549
4771.60593031812,11280000000.0094,15246284.6111457,"r00028",8,1,"NO",376495.233077512,40.4952925606016
4687.73066818885,11270000000.0095,15326357.438428,"r00029",8,1,"NO",376328.309889047,40.7260284057468
4697.81751575296,11292000000.0105,15240292.92953,"r00030",8,1,"NO",376695.443266143,40.4578637781993
4772.91745044627,11292000000.0098,15170986.5520836,"r00031",8,1,"NO",376695.443266131,40.2738786021509
4783.28468734231,11294000000.0074,15081875.7922787,"r00032",8,1,"NO",376728.80128637,40.0337742715196
4839.55711193878,11306000000.0094,15231190.5993794,"r00033",8,1,"NO",376928.88741255,40.4086582589484
4848.07196640826,11290000000.0089,15287957.9903296,"r00034",8,1,"NO",376662.082291577,40.5879930820727
4845.58185162876,11276000000.0084,15224937.7900219,"r00035",8,1,"NO",376428.472684545,40.4457656495627
4813.10519365629,11314000000.0105,15333487.1288907,"r00036",8,1,"NO",377062.219177407,40.6656682876953
4812.08922016801,11308000000.0114,15250760.470707,"r00037",8,1,"NO",376962.224774998,40.456999318194
4829.89505018765,11294000000.0099,15271464.8269662,"r00038",8,1,"NO",376728.801286413,40.5370249761072
4749.99693188478,11272000000.0088,15267000.328327,"r00039",8,1,"NO",376361.700449405,40.5647022800061
4843.12488234749,11306000000.0098,15279707.2389074,"r00040",8,1,"NO",376928.887412557,40.5373738897953
4941.60647298164,11308000000.0102,15278944.706557,"r00041",8,1,"NO",376962.224774979,40.5317660560751
4865.04448586651,11282000000.0121,15235681.3623275,"r00042",8,1,"NO",376528.608835174,40.4635424900661
4801.38252223277,11276000000.0108,15220952.8532848,"r00043",8,1,"NO",376428.472684586,40.4351794770811
4745.17686584151,11316000000.0101,15285211.8476017,"r00044",8,1,"NO",377095.54475254,40.5340557858679
4778.25006175841,11282000000.0096,15165502.1140935,"r00045",8,1,"NO",376528.608835133,40.2771575870717
4709.61198413055,11296000000.0084,15230018.943742,"r00046",8,1,"NO",376762.156353191,40.4234307690521
4749.67255977821,11286000000.007,15351637.4608036,"r00047",8,1,"NO",376595.35147655,40.764277627467
4820.77526103864,11296000000.0088,15262692.1554445,"r00048",8,1,"NO",376762.156353199,40.510151824103
4954.99995583869,11314000000.0098,15467292.2984652,"r00049",8,1,"NO",377062.219177395,41.0205305962736
4717.01811426199,11302000000.0093,15142528.0662437,"r00050",8,1,"NO",376862.203840614,40.1805432116187
4766.17101606069,11280000000.0106,15120270.1365097,"r00051",8,1,"NO",376495.233077531,40.160588523032
4822.41761261849,11294000000.0085,15145375.2433706,"r00052",8,1,"NO",376728.801286389,40.2023290803751
4900.58285340735,11276000000.0094,15242564.9400061,"r00053",8,1,"NO",376428.472684562,40.4925930052562
4838.35527432729,11280000000.0107,15170557.7116937,"r00054",8,1,"NO",376495.233077533,40.2941561508949
4680.85743831904,11320000000.0111,15184158.4771588,"r00055",8,1,"NO",377162.187069018,40.258962848734
4745.32577380975,11298000000.0107,15273943.6244281,"r00056",8,1,"NO",376795.508467345,40.5364270040173
4818.11112687828,11298000000.0102,15300081.0294729,"r00057",8,1,"NO",376795.508467335,40.6057946171066
4713.52719192008,11294000000.0101,15125065.7881203,"r00058",8,1,"NO",376728.801286415,40.1484190655791
4774.25796399185,11296000000.0114,15282872.5668471,"r00059",8,1,"NO",376762.156353241,40.5637145587371
4847.40688099449,11274000000.0102,15044742.2581077,"r00060",8,1,"NO",376395.088047671,39.9706126244726
4754.54715849149,11300000000.0089,15258254.5159088,"r00061",8,1,"NO",376828.857629522,40.4912049780166
4849.848647776,11300000000.0107,15261150.9879439,"r00062",8,1,"NO",376828.857629552,40.4988914170332
4752.72877973149,11288000000.0101,15171024.2645198,"r00063",8,1,"NO",376628.718362014,40.2811137995522
4841.1698514591,11266000000.0132,15276782.9243721,"r00064",8,1,"NO",376261.519878842,40.601502192654
4888.59444694901,11290000000.0097,15194106.8745559,"r00065",8,1,"NO",376662.082291591,40.3388277952371
4822.47684860412,11304000000.0107,15313496.7443162,"r00066",8,1,"NO",376895.547101383,40.6306120146252
4892.05208544843,11306000000.0124,15306055.0000124,"r00067",8,1,"NO",376928.8874126,40.6072750355636
4924.00071815188,11300000000.0101,15323612.1081874,"r00068",8,1,"NO",376828.857629543,40.6646460267963
4765.98357298087,11266000000.0097,15279674.0246334,"r00069",8,1,"NO",376261.519878783,40.6091859448075
4812.13362236515,11284000000.0098,15285610.448848,"r00070",8,1,"NO",376561.981634567,40.5925483568383
4808.10181408637,11314000000.0108,15249282.4210678,"r00071",8,1,"NO",377062.219177413,40.4423504808705
4866.77667646275,11284000000.0069,15173680.9264073,"r00072",8,1,"NO",376561.981634519,40.2953077221016
4800.0303911856,11276000000.0109,15332459.5711547,"r00073",8,1,"NO",376428.472684587,40.7314023347056
4773.32401045056,11298000000.0099,15133658.970989,"r00074",8,1,"NO",376795.508467331,40.1641172224884
4836.45032922694,11290000000.0115,15176146.5337055,"r00075",8,1,"NO",376662.082291621,40.291144894048
4701.52473004591,11288000000.0108,15313959.7806104,"r00076",8,1,"NO",376628.718362026,40.6606268561023
4733.75341993523,11314000000.0094,15291681.2518816,"r00077",8,1,"NO",377062.219177389,40.5547956654008
4830.34007123805,11290000000.0089,15306356.4768932,"r00078",8,1,"NO",376662.082291577,40.6368392161238
4829.03739210605,11282000000.0086,15101316.5316984,"r00079",8,1,"NO",376528.608835117,40.1066909056871
4847.73488119632,11300000000.0084,15207600.4118396,"r00080",8,1,"NO",376828.857629514,40.3567829372326
4713.0683732396,11298000000.0099,15143504.2084687,"r00081",8,1,"NO",376795.508467331,40.1902460835243
4911.00843403829,11294000000.0104,15168592.1981329,"r00082",8,1,"NO",376728.80128642,40.2639568473039
4764.71809634484,11282000000.0085,15176143.5645058,"r00083",8,1,"NO",376528.608835114,40.305419584071
4876.01582158875,11266000000.0098,15105555.6604818,"r00084",8,1,"NO",376261.519878786,40.1464270525142
4736.49861070676,11280000000.009,15223772.2539599,"r00085",8,1,"NO",376495.233077504,40.4354980261491
4798.97621478803,11274000000.0115,15320989.3972896,"r00086",8,1,"NO",376395.088047692,40.7045412753856
4858.82359258202,11302000000.01,15427242.3986016,"r00087",8,1,"NO",376862.203840625,40.9360297779444
